Title,Company Name,Location,Skills Required,Salary_Min,Salary_Max,Date Posted,Source
esecforte - Cloud Security Engineer - iAM/Active Directory,eSec Forte Technologies,"Noida, Ghaziabad",cloud,,,2024-11-07,Source 1
Associate Lead Consultant - SAP TRM Module,Traek Info India Services,"Bangalore, Karnataka",manager,,,2024-10-11,Source 1
"Strategic Account Manager, Account Management",ASSPL - Haryana,India,manager,,,2024-10-30,Source 1
"Strategic Account Manager, Account Management",Amazon,India,manager,,,2024-10-31,Source 1
"Strategic Account Manager, Account Management",ASSPL - Haryana,India,manager,,,2024-11-02,Source 1
"Strategic Account Manager, Account Management",Amazon,India,manager,,,2024-11-03,Source 1
Account Manager /Key Accounts Manager,Avnet India,"Delhi, India",,,,2024-11-26,Source 1
Account Manager - Publisher Account Manager,dentsu,India,manager,,,2024-09-21,Source 1
Accounts Manager (Accounts ),Ajay Bhardwaj ,"Delhi, India",manager,,,2024-07-11,Source 1
Accounts Manager (Accounts ),Ajay Bhardwaj ,"Hyderabad, Telangana",manager,,,2024-07-11,Source 1
Accounts Manager (Accounts ),Ajay Bhardwaj ,"Bangalore, Karnataka",manager,,,2024-07-11,Source 1
Account Manager,AES INDUSTRIAL PRIVATE LIMITED,India,manager,,,2024-11-18,Source 1
Account Manager,Transmarine Cargo,"Mumbai, Maharashtra",manager,420000.0,600000.0,2024-02-05,Source 1
Accounts Manager,Racer Tooling Industries,"Coimbatore, Tamil Nadu",,,,2024-07-31,Source 1
Account Manager,Racer Tooling Industries,"Coimbatore, Tamil Nadu",,360000.0,420000.0,2024-07-31,Source 1
Account Manager,HRM INFO,"Pune, Maharashtra",manager,300000.0,420000.0,2024-01-15,Source 1
Account Manager,DigiLantern,"Noida, Ghaziabad",manager,,,2023-02-16,Source 1
Account Manager,Smartoffice Payroll and Biometric Solutions Pvt Ltd,"Gadag, Karnataka",,100000.0,200000.0,2019-05-17,Source 1
Software Engineering Director - .Net Solution Architecture,Ally Executive HR,"Bangalore, Karnataka",,,,2024-10-17,Source 1
Insure Pro 2.0 - Graphic Designer - Adobe Creative Suite,Insure Pro 2.0,"Chennai, Tamil Nadu",design,,,2024-11-23,Source 1
Web Designer - Adobe Creative Suite,Dotflick Solutions,India,"javascript, html, design",,,2024-11-14,Source 1
.Net Developer - ASP/C#,HyrEzy Talent Solutions,"Pune, Maharashtra","sql, javascript, design",,,2024-11-22,Source 1
Full Stack Developer - Javascript/AngularJS,Coders Brain Technology Pvt. Ltd.,"Bangalore, Karnataka",,,,2024-11-15,Source 1
Associate Director - Quality Assurance,Aptita Consulting Partners,India,,,,2024-11-09,Source 1
Business System Analyst,Talent21 Management and Shared Service Pvt Ltd,"Bangalore, Karnataka",,,,2024-11-23,Source 1
Zyxware Technologies - Senior Business Analyst - CBAP Certified,Zyxware Technologies Private Limited,"Kerala, India",,,,2024-10-12,Source 1
Dotflick Solutions - DevOps Engineer - TMS Administration,Dotflick Solutions,India,"devops, agile",,,2024-10-15,Source 1
V-Guard - Senior IT Manager,V-Guard Industries Ltd,"Ernakulam, Kerala",manager,,,2024-11-13,Source 1
Adobe Experience Platform Specialist - Configuration & Implementation,HNM Solutions,"Pune, Maharashtra",,,,2024-10-23,Source 1
Backend Developer - PHP/Node.js,Grapes Digital Pvt. Ltd.,"Delhi, India",,,,2024-11-16,Source 1
Ekfrazo Technologies - Magento Developer - eCommerce Websites,Ekfrazo Technologies,"Bangalore, Karnataka",,,,2024-11-02,Source 1
Motion Graphic Designer - Video Editing,Miles Education,"Bangalore, Karnataka",design,,,2024-10-08,Source 1
Business System Analyst,Ally Executive,"Bangalore, Karnataka",design,,,2024-11-26,Source 1
DigiLantern - Senior Full Stack Developer - Node.js/AngularJS,DigiLantern,"Noida, Ghaziabad",design,,,2024-10-25,Source 1
Adobe Analytics Engineer - SQL,SYSTEM SOFT TECHNOLOGIES INDIA PRIVATE LIMITED,India,sql,,,2024-11-21,Source 1
Sitecore Developer - C#/ASP/.Net,Scoop Technologies,India,design,,,2024-11-20,Source 1
Video Editor - Adobe Creative Suite,THEM consulting,India,design,,,2024-10-20,Source 1
Technical content writer,Wings Inc,"Mumbai, Maharashtra",,,,2024-10-20,Source 1
Quality Assurance - Functional/Performance Testing,Grapes Digital Pvt. Ltd.,"Delhi, India",,,,2024-11-16,Source 1
iOPEX - Data Analyst - SQL/ETL,iOPEX Technologies Private Limited,"Chennai, Tamil Nadu",sql,,,2024-11-20,Source 1
Java Developer - Data Structure & Algorithm,VARITE Inc.,India,"java, cloud",,,2024-11-27,Source 1
.Net Full Stack Developer - C#/Angular 2,DigitalCube Consultancy,India,,,,2024-10-22,Source 1
Senior Developer - AEM Applications,Risk Resources LLP,India,,,,2024-11-24,Source 1
System Administrator - Certinia,POTENTIAM OFFSHORE SERVICES PRIVATE LIMITED,"Bangalore, Karnataka",,,,2024-11-06,Source 1
MS Clarity Analyst,Vlaunchu,"Hyderabad, Telangana",,,,2024-10-23,Source 1
Google Analytics Developer,HNM Solutions,India,design,,,2024-10-22,Source 1
Digital Marketing,Savvy Search,India,,,,2024-10-27,Source 1
Fincity - Software Developement Engineer II - Java Technologies,Apya Capital Services Pvt. Ltd.,"Bangalore, Karnataka","java, design",,,2024-10-25,Source 1
Machine Learning Engineer,TekPillar,"Bangalore, Karnataka","python, sql, aws, flask, machine learning, kubernetes, design",,,2024-11-17,Source 1
Machine Learning Engineer,TekPillar,"Bangalore, Karnataka","aws, machine learning",,,2024-10-20,Source 1
Machine Learning Engineer,Rakuten,"Bangalore, Karnataka","machine learning, data science",,,2024-11-06,Source 1
Machine Learning Engineer,Avenue Code,"Bangalore, Karnataka",machine learning,,,2024-10-15,Source 1
HQ - Machine Learning Engineer,HQ,"Noida, Ghaziabad","machine learning, data science",,,2024-10-16,Source 1
Kloud9 - Machine Learning Engineer,Kloud9,"Bangalore, Karnataka",data science,,,2024-10-02,Source 1
Machine Learning Engineer - Python/Java,Mentorpal.ai,"Bangalore, Karnataka","machine learning, devops",,,2024-11-08,Source 1
Machine Learning Engineer - Computer Vision,Vikgol,"Bangalore, Karnataka","machine learning, design",,,2024-10-16,Source 1
Machine Learning Engineer - Data Science,Global Employees,India,"machine learning, design",,,2024-11-13,Source 1
Artificial Intelligence/Machine Learning Engineer,Ample Success Hr Solutions,"Bangalore, Karnataka","python, react",,,2024-10-09,Source 1
Artificial Intelligence/Machine Learning Engineer,Antal International,"Ernakulam, Kerala","machine learning, design",,,2024-10-11,Source 1
Machine Learning Engineer - Python Programming,Risemet Staffing LLP,"Bangalore, Karnataka","machine learning, design",,,2024-09-29,Source 1
IDfy - Senior Machine Learning Engineer,IDFY,"Pune, Maharashtra",,,,2024-11-09,Source 1
iTech - Machine Learning Engineer - LLM,iTech India Pvt Ltd,"Chennai, Tamil Nadu",,,,2024-11-27,Source 1
Senior Machine Learning Engineer - Python,Retail Kloud9 Technologies India Private Limited,"Bangalore, Karnataka","machine learning, data science, artificial intelligence",,,2024-11-13,Source 1
Machine Learning Engineer - Generative AI,Novotree Minds,India,"aws, machine learning, design",,,2024-10-24,Source 1
Principal Machine Learning Engineer - LLM,Merit Data and Technology,India,"python, machine learning, design",,,2024-11-21,Source 1
Artificial Intelligence/Machine Learning Engineer,Consulting Pandits,"Pune, Maharashtra","python, linux",,,2024-11-05,Source 1
Artificial Intelligence/Machine Learning Engineer,Starkenn Technologies,"Pune, Maharashtra",big data,,,2024-11-12,Source 1
Machine Learning Engineer - Deep Learning,RS Consultants,"Pune, Maharashtra",,,,2024-11-28,Source 1
Machine Learning Engineer - Python/Tensorflow,Railofy,India,machine learning,,,2024-11-22,Source 1
Artificial Intelligence/Machine Learning Engineer,Quickads,India,,,,2024-11-26,Source 1
Artificial Intelligence/Machine Learning Engineer,TopHire.co,"Bangalore, Karnataka",design,,,2024-11-25,Source 1
Machine Learning Engineer - Python/Java,BPK Tech,India,"python, java, aws, azure, cloud, design",,,2024-10-30,Source 1
Artifical Intelligence & Machine Learning Engineer,MountTalent Consulting,"Chandigarh, India","machine learning, data science, devops",,,2024-10-19,Source 1
Artificial Intelligence/Machine Learning Engineer,East 57th Street Partners,India,machine learning,,,2024-10-04,Source 1
Machine Learning Engineer - Predictive Analytics,Anlage Infotech  Pvt Ltd,India,data science,,,2024-10-02,Source 1
Artificial Intelligence/Machine Learning Engineer,Gloify,"Bangalore, Karnataka","machine learning, data science, artificial intelligence, design",,,2024-10-08,Source 1
Ripik.AI - Machine Learning Engineer,Ripik.ai,"Noida, Ghaziabad",,,,2024-10-01,Source 1
Artificial Intelligence/Machine Learning Engineer,Kairos Konnect,"Mohali, Punjab","python, sql, machine learning",,,2024-11-12,Source 1
UX Designer,talentxo,"Delhi, India",design,,,2024-09-29,Source 1
UI/UX Designer,Hash Studioz Technologies,"Delhi, India",design,,,2024-11-20,Source 1
Senior UX Designer,OptOut,"Bangalore, Karnataka",design,,,2024-10-09,Source 1
UI/UX Designer,WaveHire,India,design,,,2024-11-18,Source 1
UI/UX Designer,Paccore Software,"Hyderabad, Telangana",design,,,2024-11-21,Source 1
Director - UX Design,Cortex Consulting Pvt. Ltd.,"Chennai, Tamil Nadu",design,,,2024-11-21,Source 1
Director - UX Design,Cortex Consultants,"Chennai, Tamil Nadu",design,,,2024-11-14,Source 1
Salesforce UX Designer,HNM Solutions,India,design,,,2024-10-30,Source 1
Senior UX Designer,SGP India Pvt LTd,India,design,,,2024-11-26,Source 1
UI/UX Designer - Figma,Mobile Programming LLC,India,design,,,2024-11-28,Source 1
Senior UI/UX Designer,Kadel Labs Private Limited,India,design,,,2024-11-16,Source 1
UI/UX Designer - Figma,MNR Solutions,"Mohali, Punjab","html, css, design",,,2024-10-23,Source 1
UX Designer - Figma/Sketch,HireVeda,"Hyderabad, Telangana",design,,,2024-10-26,Source 1
UX Designer - Interaction Design,Yo HR Consultancy,India,design,,,2024-11-22,Source 1
UX Designer - Adobe XD,IndieFolio Network,"Mumbai, Maharashtra",design,,,2024-11-16,Source 1
Manager - UI/UX Design,Sampoorna Consultants Pvt. Ltd,"Bangalore, Karnataka",design,,,2024-11-23,Source 1
Exly - UI/UX Designer,EXLY,India,,,,2024-10-10,Source 1
UX Designer - Adobe XD,Flairdeck consulting,"Navi Mumbai, Maharashtra","manager, design",,,2024-10-25,Source 1
UX Designer - Product Design,HRwing,"Bangalore, Karnataka",design,,,2024-11-03,Source 1
UI/UX Designer - Figma,Serving Skill,"Mumbai, Maharashtra","manager, design",,,2024-11-22,Source 1
UX Designer - Adobe Creative Suite,ATech,India,design,,,2024-11-22,Source 1
UX Design Lead - Adobe XD,Allnessjobs,"Hyderabad, Telangana",design,,,2024-10-10,Source 1
UI/UX Designer - Figma/Sketch,IT software,"Mohali, Punjab",design,,,2024-10-29,Source 1
UX Designer - User-Centered Design,Ascent Force,India,,,,2024-11-14,Source 1
UX Design Lead - Interaction Design,Indus Net Technologies,"Hyderabad, Telangana",design,,,2024-10-30,Source 1
UI/UX Designer - Figma/Sketch,Zanskar Research,India,,,,2024-11-19,Source 1
UI/UX Designer - Interaction Design,The Fast Way,"Navi Mumbai, Maharashtra",design,,,2024-11-07,Source 1
UI/UX Designer - Photoshop/Illustrator,Revolo Infotech,India,design,,,2024-11-08,Source 1
UX Designer - Adobe XD/Figma,NovoTree Minds Consulting Pvt. Ltd,India,design,,,2024-10-31,Source 1
UI/UX Designer - Sketch/Photoshop,X Arterian,India,design,,,2024-11-12,Source 1
IT Support Specialist,Acute Informatics Pvt Ltd,"Ahmedabad, Gujarat",,,,2024-11-20,Source 1
IT Support Engineer,Aricent,India,,,,2024-11-27,Source 1
Executive - IT Support,Grand View Research,"Pune, Maharashtra",,,,2024-10-15,Source 1
IT Support Engineer,Alliance International Services,"Gujarat, India",,,,2024-10-10,Source 1
Senior IT Support Engineer,Aricent,India,,,,2024-11-10,Source 1
Rently - IT Support Engineer,Rently Software Development Private Limited,"Coimbatore, Tamil Nadu",,,,2024-11-13,Source 1
IT Support Engineer - Network Support,ATech,India,,,,2024-11-22,Source 1
IT Support Engineer - Active Directory,Rigel Networks,India,,,,2024-10-26,Source 1
Amagi Media - IT Support Engineer,Amagi Media Pvt Ltd,"Bangalore, Karnataka",design,,,2024-10-15,Source 1
Senior Cloud IT Support Engineer - IT Infrastructure,Xcel Hire Management Solutions,"Hyderabad, Telangana",cloud,,,2024-10-31,Source 1
TripleLift - IT Support Engineer - Cloud Infrastructure,TripleLift,"Pune, Maharashtra",,,,2024-11-16,Source 1
Falabella India - IT Support/System Administration,FALABELLA CORPORATE SERVICES INDIA PRIVATE LIMITED,"Bangalore, Karnataka",jira,,,2024-11-13,Source 1
R&D Associate - IT Support Services,Buchprufer Consultants LLP,India,manager,,,2024-11-22,Source 1
IT Infrastructure Support Engineer - System Support,Dotflick Solutions,India,,,,2024-11-14,Source 1
Support Engineer - IT Operations,Otomeyt,"Mumbai, Maharashtra",,,,2024-10-02,Source 1
"Analyst II, IT Business Support(Category management/Strategic Sourcing & Procurement)",Bristol Myers Squibb,"Hyderabad, Telangana",,,,2024-11-21,Source 1
IT Head - Infra Tech Support,Black Turtle India Pvt Ltd,"Navi Mumbai, Maharashtra",,,,2024-10-27,Source 1
IT Systems Administrator - Technical Support,EXPEDITE HIRE,"Ahmedabad, Gujarat",,,,2024-10-09,Source 1
Technical Support Engineer - IT Infrastructure,ClearTrail Technologies,India,,,,2024-11-09,Source 1
Crest IT Consulting - L2 Application Support Engineer - Troubleshooting,Crest IT consulting,"Navi Mumbai, Maharashtra",sql,,,2024-10-11,Source 1
Lead Network Security Engineer {Python & AWS},Delta Air Lines,"Bangalore, Karnataka",,,,2024-11-22,Source 1
Yan IT Solutions - Functional/Technical Support Lead - IBM Maximo,YAN IT SOLUTIONS PVT LTD,"Bangalore, Karnataka",,,,2024-11-28,Source 1
Lead Network Security Engineer,Delta Air Lines,"Bangalore, Karnataka",,,,2024-11-22,Source 1
It Support,ExcelTech Computers Pte Ltd,"Pune, Maharashtra",,,,2024-10-16,Source 1
IT Support,Greyblue Ventures,India,azure,300000.0,400000.0,2024-06-01,Source 1
IT Support,Prodat It Solutions,"Bangalore, Karnataka",azure,,,2024-11-11,Source 1
IT Support,Project Eagle,"Jaipur, Rajasthan",,0.0,500000.0,2021-05-26,Source 1
IT Support,FULL Creative,"Chennai, Tamil Nadu",,,,2024-10-30,Source 1
IT Support,,"Pune, Maharashtra",,,,2024-05-10,Source 1
IT Support,,"Pune, Maharashtra",,,,2024-05-10,Source 1
Cloud FinOps Financial Analyst,SPG Consulting Solutions Pvt.Ltd,India,cloud,,,2024-11-08,Source 1
Workday Finance/Reporting Analyst - Implementation,Nikhil Gadodia Freelancer,"Pune, Maharashtra",design,,,2024-11-13,Source 1
Oracle Systems Analyst - Financials Modules,Recruit Panda,India,cloud,,,2024-10-09,Source 1
"Sr. Analyst, Financial Systems EPM/ePBCS",Inspire Brands Hyderabad Support Center,"Hyderabad, Telangana",,,,2024-11-22,Source 1
Money Honey Finance Service - Business Analyst,Money Honey Finance Service Pvt Ltd,"Mumbai, Maharashtra",design,,,2024-10-30,Source 1
Analyst - Sanctions Trade Finance,MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
Senior Analyst - Financial Crimes [UAT or User Acceptance Testing],MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
Senior Analyst - Financial Crimes {Customer Due Diligence & Testing},MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
Ventura Securities - Senior Business Analyst - Financial Services Domain,Ventura Securities Ltd.,"Mumbai, Maharashtra",,,,2024-11-26,Source 1
Senior System Analyst - Oracle Financials Module,Appsnext Technologies Pvt Ltd,India,cloud,,,2024-10-02,Source 1
Crypto & Blockchain Analyst - DeFi Protocols,D Square Consulting Services Pvt Ltd,"Bangalore, Karnataka",,,,2024-11-23,Source 1
AVP - GOS - Business Manager [ FP&A & PowerBI],MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
AVP - GOS - Business Manager [Financial Planning and Analysis & PowerBI],MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
AVP-GOS-Business Manager,MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
Analyst - Trade [Trade Finance & Import],MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
SAC Planning Consultant,Mouri Tech  Ltd,India,,,,2024-11-22,Source 1
Financial Analyst/Senior Financial Analyst,Bright IT Global,India,,,,2024-10-25,Source 1
Financial Analyst/Senior Financial Analyst,VerveNest Technologies Pvt Ltd,"Bangalore, Karnataka",,300000.0,400000.0,2024-03-01,Source 1
Financial Analyst,2coms,"Khengrapatti, Kolkata",,,,2024-11-23,Source 1
Financial Analyst,Bahwan Cybertek Group,India,,,,2024-07-29,Source 1
Finance Analyst,NuePR Private Limited,"Gurgaon, Haryana",,600000.0,600000.0,2024-07-04,Source 1
Financial Analyst,System Soft Technologies,"Kyasaram, Hyderabad",,,,2024-09-26,Source 1
Financial Analyst,Two95 International Inc.,India,,,,2023-01-31,Source 1
Financial Analyst,Visa,"Bangalore, Karnataka",,,,2024-11-21,Source 1
Finance Analyst,Smiths Detection,India,,,,2024-11-26,Source 1
Analyst - Sanctions Trade Finance (Sanctions & Trade Finance),MUFG Global Service ,"Bangalore, Karnataka",,,,2024-11-22,Source 1
Financial Analyst,TalentPro India,India,,,,2024-11-20,Source 1
Financial Analyst,Inventionyard,"Hyderabad, Telangana",,200000.0,300000.0,2024-05-31,Source 1
Financial Analyst,R3 Consultant,"Pune, Maharashtra",,,,2024-10-11,Source 1
Financial Analyst,Innovation Technology By Design,"Noida, Ghaziabad",,,,2024-09-20,Source 1
Senior Manager - HR operations,ANSR Global Corporation,"Bangalore, Karnataka",manager,,,2024-11-22,Source 1
Assistant Manager - HR Operations,ANSR Global Corporation,"Bangalore, Karnataka",manager,,,2024-11-22,Source 1
Assistant Manager-HR Ops,ANSR Global Corporation,"Bangalore, Karnataka",sql,,,2024-11-22,Source 1
Senior Manager [HR operations and Payroll],ANSR Global Corporation,"Bangalore, Karnataka",manager,,,2024-11-22,Source 1
Sr. Manager HR Business Partner,ANSR Global Corporation,"Hyderabad, Telangana",manager,,,2024-11-22,Source 1
Assistant Manager - HR Ops [HR Operations or HR],ANSR Global Corporation,"Bangalore, Karnataka",sql,,,2024-11-22,Source 1
Senior Manager (Payroll & HR operations),ANSR Global Corporation,"Bangalore, Karnataka",manager,,,2024-11-22,Source 1
Assistant Manager - HR Ops {HR Operations & Visual Basics},ANSR Global Corporation,"Bangalore, Karnataka",sql,,,2024-11-22,Source 1
ServiceNow Developer - Service Management Implementation,Talent Destination,"Chennai, Tamil Nadu","javascript, html, css",,,2024-10-23,Source 1
StaidLogic - ServiceNow Developer - ITSM Module,STAIDLOGIC SOFTWARE PRIVATE LIMITED,India,,,,2024-10-16,Source 1
ServiceNow HRSD Developer,MERGEN CORPORATES PRIVATE LIMITED,India,design,,,2024-10-10,Source 1
SAP Project Manager,SAPBOT Technologies,"Hyderabad, Telangana",,,,2024-10-02,Source 1
Oracle Fusion HCM Consultant,Vionsys IT Solutions India Pvt. Ltd,"Bangalore, Karnataka",,,,2024-11-24,Source 1
Technical Lead - Java/React.js,Human Forte,"Mumbai, Maharashtra",java,,,2024-11-23,Source 1
Max Life Insurance - IT Program Manager - Product Engineering,Max life insurance co ltd,India,,,,2024-11-15,Source 1
ServiceNow HRSD Consultant,ITQube LTD,"Pune, Maharashtra",,,,2024-11-15,Source 1
HR Manager,Savvy Search,"Bangalore, Karnataka",manager,,,2024-11-19,Source 1
Full Stack Developer - Java/React.js,Human Forte,"Mumbai, Maharashtra",,,,2024-10-10,Source 1
Senior Data Analyst - Dashboard Design,Human Forte,"Pune, Maharashtra",,,,2024-10-10,Source 1
Senior Java Full Stack Developer - Microservices Architecture,Human Forte,"Mumbai, Maharashtra",java,,,2024-10-10,Source 1
Full Stack Developer - PHP/React.js,Human Forte,"Mumbai, Maharashtra",,,,2024-10-10,Source 1
HR Manager,Prompt Personnel Pvt Ltd,"Antop Hill, Mumbai","manager, design",1000000.0,1200000.0,2024-11-21,Source 1
HR Manager,System Soft Technologies,"Hyderabad, Telangana",manager,,,2024-10-01,Source 1
HR Manager,Abmiro,"Baner, Pune",manager,,,2024-11-21,Source 1
Oracle HCM Consultant - Implementation & Support,Antal,India,cloud,,,2024-10-16,Source 1
HR Manager,Highrise Solutions LLP,"Pune, Maharashtra",manager,,,2024-09-05,Source 1
HR Manager,Kaapro Management Solutions,"Ahmedabad, Gujarat",manager,,,2024-07-31,Source 1
HR Manager,Just Signs India,India,manager,360000.0,600000.0,2024-07-31,Source 1
HR Manager,BJR Group,"Warangal, Telangana",manager,300000.0,420000.0,2024-07-31,Source 1
HR Manager,BJR Group,"Warangal, Telangana",manager,300000.0,420000.0,2024-04-04,Source 1
Technical content writer,Wings Inc,"Mumbai, Maharashtra",,,,2024-10-20,Source 1
Technical Content Writer,genxhire,"Chennai, Tamil Nadu",,,,2024-10-23,Source 1
Technical Content Writer,Machine Minds,"Pune, Maharashtra",,,,2024-10-16,Source 1
Technical Content Writer - SEO,Xcelore,"Noida, Ghaziabad",,,,2024-11-20,Source 1
Ginger Webs - Technical Content Writer,Ginger Webs Pvt. Ltd.,"Noida, Ghaziabad",,,,2024-10-24,Source 1
zLink - Technical Content Writer - FedRAMP Certified,ZL SOFTWARE SYSTEMS PRIVATE LIMITED,India,,,,2024-10-29,Source 1
Motion Graphic Designer - After Effects/Premiere Pro,ATech,India,,,,2024-11-13,Source 1
Lenskart.com - Product Manager,Hirist.tech,"Bangalore, Karnataka",,,,2024-11-22,Source 1
SocialPilot - Web Developer - Javascript/HTML5/CSS3,SocialPilot,"Ahmedabad, Gujarat",,,,2024-10-26,Source 1
Content writer,Naukripay,"Ator Nagla, Ghaziabad",,15000.0,20000.0,2024-11-23,Source 1
Content Writer,CultureX Entertainment Pvt Ltd,"Bodakdev, Ahmedabad",,360000.0,480000.0,2024-11-14,Source 1
Content Writer,,"Gurgaon, Haryana",,,,2024-05-10,Source 1
Content writer,Brainwonders,"Mumbai, Maharashtra",,,,2024-11-23,Source 1
Content Writer,PlaySimple Games,"Richmond Town, Bangalore",,,,2024-07-31,Source 1
Content Writer,,"Chennai, Tamil Nadu",,,,2024-05-10,Source 1
Content Writer,Imagine.io,India,,,,2024-11-25,Source 1
Content Writer,SocialPilot,"Ambawadi Vistar, Ahmedabad",,,,2024-06-05,Source 1
Content Writer,Trackier,India,,,,2024-09-04,Source 1
Content Writer,LRN Corporation,India,,,,2024-11-14,Source 1
Content Writer,,"Noida, Ghaziabad",,,,2024-05-10,Source 1
Content Writer,Magneto IT Solutions Pvt. Ltd.,"Ambawadi Vistar, Ahmedabad",design,,,2024-06-28,Source 1
Content Writer,Trigent Software Private Limited,India,,,,2024-11-21,Source 1
Content Writer,Pixel Web Solutions,"Madurai, Tamil Nadu",,,,2024-11-23,Source 1
Content Writer/ Technical Content Writer,TheServerGuy,"Delhi, India",,24.0,24000.0,2020-10-24,Source 1
Content Writer,Gallivant,India,,0.0,500000.0,2021-11-05,Source 1
Content Writer,,"Kolkata, West Bengal",,,,2024-05-10,Source 1
Content Writer,Cybersurf India,"Ahmedabad, Gujarat",manager,,,2024-07-31,Source 1
Content Writer,GramPro Business Services,"Thrissur, Kerala",,,,2024-07-31,Source 1
Content Writer,Live Connections,"Chennai, Tamil Nadu",,,,2024-07-11,Source 1
Content Writer,MyDentalPlan,"Jaipur, Rajasthan",,400000.0,600000.0,2022-03-26,Source 1
Graphic Designer (Graphic Design or Graphic),Talent500,"Bangalore, Karnataka",design,,,2024-11-22,Source 1
Graphic Designer,Talent500,"Bangalore, Karnataka",design,,,2024-11-23,Source 1
Graphic Designer & Visualizer - Unigraphics,Dotflick Solutions,India,design,,,2024-11-23,Source 1
Graphic Designer - Adobe Photoshop,Venture Smarter,India,,,,2024-11-20,Source 1
Graphic Designer - Photoshop/Illustrator,Wings Inc,"Mumbai, Maharashtra",design,,,2024-10-15,Source 1
Graphic Designer - Illustrator/Photoshop,HuMetis Technologies Inc.,"Chandigarh, India",design,,,2024-11-22,Source 1
Graphic Designer - Photoshop/Illustrator,People Tech Group Careers,"Hyderabad, Telangana",design,,,2024-11-14,Source 1
PayWize - Motion Graphic Designer,PAYWIZE TECHNOLOGIES PVT LTD,"Bangalore, Karnataka",,,,2024-10-17,Source 1
Graphic Designer - Photoshop/Illustrator,Core Edge Solutions LLP,"Bangalore, Karnataka",,,,2024-11-27,Source 1
Graphic Designer - Photoshop/Illustrator,Flairdeck consulting,"Delhi, India",,,,2024-10-27,Source 1
Graphic Designer - Illustrator/Photoshop,N Human Resources and Management Systems,"Bangalore, Karnataka",design,,,2024-10-11,Source 1
Graphic Designer - Figma/Photoshop,Suffescom Solutions Pvt Ltd,"Mohali, Punjab","html, css, design",,,2024-10-10,Source 1
Meesho - Motion Graphic Designer,Meesho,"Bangalore, Karnataka",,,,2024-11-17,Source 1
Magicpin - Senior Graphic Designer,Magicpin,India,,,,2024-10-08,Source 1
Graphic Designer - Adobe XD/Illustrator,Arting Digital,"Mumbai, Maharashtra",design,,,2024-11-13,Source 1
Graphics Designer - Adobe Creative Suite,Confidential Company,India,design,,,2024-11-21,Source 1
Graphic Designer - Adobe Creative Suite,Talent Pro,India,design,,,2024-11-26,Source 1
Graphic Designer - Adobe Creative Suite,Auditorsdesk,"Delhi, India",,,,2024-10-22,Source 1
Graphic Designer - Adobe Creative Suite,INTINERI INFOSOL PRIVATE LIMITED,"Mumbai, Maharashtra",design,,,2024-11-10,Source 1
Graphic Designer - Adobe Creative Cloud,Corporate Stalwarts,India,design,,,2024-11-19,Source 1
TrueFan - Motion Graphic Designer - Animation,TrueFan,India,design,,,2024-10-23,Source 1
